"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41"
1,17.9859902398381,28.5175181046806,32.5628747574012,40.1817011144604,45.1890057878258,54.9863176460986,74.7500659903754,93.972064229995,89.8311599132984,73.40558816178,46.3892149768716,31.3026658503198,36.8864357074783,48.0502906238038,67.2027033508539,115.976731179269,144.372518989003,100.026516277485,62.1390189911051,44.6568563439586,28.3953098277616,19.5811341375044,12.7348869928244,10.9319037073819,12.2775277393076,11.3173355621446,11.0857106649431,12.313426934046,11.2697269608811,10.7516659437077,11.9636207110544,11.911113802929,10.7322300134527,13.0875523671201,15.9848746703189,13.5822917319605,7.44994057421439,4.08511610937091,2.37230705394895,1.26553935224651
1,22.6288913094027,34.4849810301779,46.1211099979649,58.8449966415327,73.8873218526682,98.4805052875926,146.797231196851,164.531071557886,112.55633124651,74.3024145391677,48.2110793990148,40.2361971106815,51.5702312647369,83.7191419868497,154.547545120099,198.143350855986,160.842397152072,109.252713967858,80.7464716929009,55.0575196349153,31.7883375641014,24.5528312697757,20.8659723885696,17.8234716513365,16.4434716657175,18.2380101014177,16.1343937817037,17.3960339315732,19.2132227353502,16.3598350798783,15.1408940739918,16.2640437813998,16.1178257922107,19.2060199978681,19.5771413703983,18.0898651609381,12.3594874943186,5.7179710383848,3.29999964957676,1.80282835154945
1,15.6409470578306,29.5171050365431,42.5324023322721,47.8898115706857,59.0581113829712,91.4372619006696,112.920147548105,100.843863629989,67.2932879383929,41.1741813507288,30.3510613805358,35.7244630062032,54.283025369396,84.0630800546322,153.902210043372,211.840716039163,182.282110250754,110.508721722351,67.8294477472304,39.3246376248841,24.6959228294631,19.6375163513308,16.5284775851065,16.3798760853407,17.6683324613438,17.3502175335474,15.9344555287527,15.9448151578921,15.3736961432702,14.2455291169233,16.7780084272545,14.3641634256819,13.5226993992712,15.0500159247562,17.2246958075573,14.9706121047309,9.95608638123574,5.5809001100812,3.27867248447928,1.90206438907995
1,24.8271905755699,36.0456208045716,41.5417332005232,55.498639766567,65.5402433493591,77.1131063905834,115.611774508446,133.543848958485,97.5070234635378,58.8226510338128,43.4007465990127,42.2999551572619,60.2077507157614,83.098264229173,140.287154238506,219.216183500679,198.925007726043,118.943715628837,75.8205052186915,51.3485139179717,33.8066291880347,22.8488400707293,18.3970839995726,16.5108464825045,14.7886436842396,16.523395483875,20.2373524727093,21.1503366560534,18.7115572596426,17.1702554957386,14.228714435482,11.2936006426263,14.091919803244,17.7727581567211,21.0416507956072,17.8986606910603,11.2219515896556,6.5498097055724,3.57155190482635,1.73888986729867
1,24.2650043811862,36.8807374401811,40.4020371498264,49.9030021362223,65.4321106290558,78.4801058201409,125.088595022434,132.033085086979,86.2329631862408,65.7173141291069,54.3110407377998,49.9348380626636,58.5564528438107,83.2665442430621,149.529852526416,207.090345750329,184.883298373833,118.772576115807,84.0307716310551,60.7938082093748,38.6216044369239,26.1981082261351,19.529276944337,16.2128853153359,17.059536582305,17.87529457378,18.9566003484196,21.5987723527635,19.5807697128053,17.6288986499794,17.0987554825083,16.3981275692716,17.2373054566158,23.6961399667476,28.3611605302608,22.0276861438809,12.4296725914444,6.72937907098127,3.34340172639654,1.77041375343823
1,24.4614652350624,35.8423747542648,43.5422622556903,56.7038296920359,67.1270694460497,87.4802491498619,131.439207075839,160.684191240453,112.86456646828,65.043472728541,47.1147498882357,39.3552991838152,58.1834440847772,88.3172579981038,137.923556360969,191.195456627206,164.275718842655,94.6199982111609,67.0822027047157,45.7849014616171,35.2675099725051,26.4396052024759,20.7279340266138,18.7390650778153,16.4938620672828,16.7983443190346,18.9741662592858,21.2360381783566,20.099411765659,16.5002594276229,16.0326752135011,15.5007769505106,14.6081099917956,20.1332838879081,27.7577643744686,22.1469552412716,12.0223793565305,7.2695453302868,3.84321297819483,1.89171334915354
1,27.7812327411569,36.4623574176713,40.039490910254,52.7388729969906,63.3525367541691,80.965347714471,112.971703488219,135.766883426701,96.0275992200042,60.08375041275,51.8052237434682,49.8199372911901,62.6585377687641,88.0545803058729,171.535630940535,240.03219152173,176.700124210756,108.575978277701,71.5400091477136,44.6699038212261,33.3555291430667,25.8650691852032,17.9735180763798,16.129663541913,16.1622978424717,15.2429971811564,17.5486592867411,21.4800261273162,19.1860268468323,15.7503823237254,15.872638464593,14.4253614361538,13.2432055337791,16.1819355760462,17.8209771959999,15.8024625353503,11.2389917342547,6.1009986994515,3.57746739604217,1.93056677656952
1,26.7899578005898,40.2754995177059,48.5715884473739,52.2056538524754,55.0624041870338,93.7839579914044,139.821816266184,129.25604783879,88.2334143498895,52.8223896831454,40.5714843701603,42.0882146538977,60.8144776228149,100.944967340511,189.534636994491,251.018536947008,201.810969911423,120.312070636841,68.4946301822462,42.5704345186149,28.0411804066377,19.2643467064077,17.5616904658305,16.8840116625121,15.5920199820773,14.4676418202974,18.0344656322519,21.3590562042412,19.4235114934251,14.7101231362927,13.5537005476698,14.6163101233115,14.6763111099044,18.3463675097742,24.0501050825025,20.7217656090749,12.505072560224,6.39449812524793,3.25638578770106,1.80367122784219
1,24.3664338246691,37.3741933956117,44.8262218556698,60.0225043576711,58.3545162560193,74.6650557544417,112.34244372886,117.683515095027,83.7005292263703,45.0039178139739,37.3791005160192,42.1990428165356,57.411790222715,82.7901839325052,170.810896675814,275.899101159953,220.207611725153,117.144371722687,71.4017770975447,45.9085709499643,32.6184234761669,25.0644949554841,19.1267155668503,18.0468499639627,16.8756280516109,15.9914965619961,15.9052612223631,16.7523627046448,15.0039441635799,13.6959177302093,13.4058036393745,11.8893980188352,15.179304932983,20.4489397035579,21.0702715092619,15.8592287826645,10.8400841334961,6.85967910081004,3.3114075878191,1.6939258175898
1,19.8584128173543,31.5207900411532,38.1552293024704,42.0750834996292,40.5499439045497,49.4526740938887,75.5142307380505,120.732830069237,123.345336536615,100.486021330317,58.7441903773265,37.0969023046806,36.6957028383548,51.3623722783392,87.650249349159,112.153205228784,101.356297907198,71.9947998119657,50.1524220753668,33.4185774035347,29.9403277702711,25.7256458483614,21.5119325334853,18.8331278495254,15.4722223556425,10.4715771290235,8.6775584326383,9.00547541406059,10.44405426972,9.26424231344479,8.8743623539579,8.86685903120815,9.13948833629718,10.3814381490979,10.1927633778569,8.47298242139651,6.56346915735454,4.02578791050922,2.68389899407985,1.4081703275051
