1,3.2274,0.93042,29.919,207.71,122.05,27.486,37.306,81.188,126.54,136.25,114.5,86.018,63.878,50.995,42.412,37.892,38.508,37.058,37.238,38.415,38.916,38.179,39.987,36.404,35.524,34.132,32.33,30.197,29.257,27.216,25.624,24.992,25.657,26.11,34.607,29.282,27.458,27.526,28.516,30.317
3,6.2081,10.753,63.812,244.59,228.02,233.69,469.12,831.75,1155.3,1201.2,1023,809.84,654.51,556.64,458.72,365.95,285.2,220.42,166.28,135.7,112.35,91.896,77.947,67.417,60.559,56.192,54.135,52.303,55.181,52.61,52.793,50.675,56.407,58.112,59.226,61.936,59.324,59.816,62.096,64.708
4,4.3846e-05,0.00010575,0.00047311,0.0011605,0.0012919,0.0022482,0.0048745,0.0082905,0.010918,0.012622,0.01437,0.015961,0.016907,0.017882,0.020244,0.024952,0.032693,0.0428,0.054698,0.068542,0.082751,0.094663,0.10293,0.10583,0.10253,0.093383,0.080867,0.066772,0.053359,0.041642,0.031613,0.026283,0.021866,0.018024,0.015325,0.013389,0.011625,0.010168,0.0092236,0.0085437
1,3.0214,1.2792,26.953,186.28,133.77,43.36,59.372,103.6,139.5,139.91,116.29,88.286,65.282,50.49,41.119,37.755,40.047,40.738,41.673,42.69,41.992,39.123,38.29,31.321,27.351,23.573,20.665,17.833,17.242,14.911,13.177,12.145,12.223,12.134,14.369,12.958,10.2,9.4942,9.8234,11.734
4,6.7974e-05,0.0001272,0.0007844,0.0018678,0.0019715,0.0038817,0.0081751,0.012413,0.015795,0.018045,0.019076,0.018559,0.016702,0.015092,0.014807,0.016455,0.02005,0.025158,0.031608,0.039797,0.048948,0.057444,0.064329,0.068196,0.068373,0.064553,0.058114,0.050162,0.042221,0.035055,0.028869,0.025895,0.023768,0.022277,0.021574,0.021629,0.021725,0.021898,0.022361,0.022842
3,0.062936,0.018298,0.39876,3.6667,3.8295,2.8958,5.1183,7.0685,7.6364,6.1929,4.1796,3.0363,3.0187,3.7451,4.816,5.9278,6.9307,7.4113,7.2502,6.7803,5.9923,5.0309,4.1879,3.4292,2.811,2.312,1.9102,1.5679,1.3234,1.0453,0.83408,0.6929,0.61741,0.53211,0.48655,0.41192,0.36225,0.32839,0.33219,0.36789
4,1.6838,1.0713,6.2053,21.134,83.355,331.88,843.71,1121.9,930.7,663.34,624.98,684.34,695.78,630.73,504.62,363.74,239.45,154.29,99.41,78.976,71.07,67.768,65.717,65.081,63.677,61.933,57.62,53.819,49.32,47.59,41.136,38.18,37.544,41.731,34.582,33.835,33.337,31.869,32.165,30.922
1,3.0404,1.2442,27.525,189.55,132.3,34.204,47.932,84.455,113.43,121.27,120.12,113.55,96.486,74.602,54.62,42.781,38.875,35.035,32.945,32.756,32.623,31.92,34.263,30.668,30.154,29.206,28.049,26.254,26.145,23.455,21.612,20.463,20.255,19.981,21.436,19.143,16.642,15.25,14.964,16.073
1,3.5096,0.98784,34.504,220.13,128.21,32.985,44.595,84.451,114.43,110.88,90.164,67.552,48.194,35.494,27.445,23.829,25.035,23.561,23.337,23.842,24.167,24.062,26.842,24.889,26.083,27.227,28.31,29.365,31.714,31.771,31.813,31.865,32.319,32.424,38.7,33.541,28.058,26.098,25.543,26.603
1,3.5733,1.0719,35.88,220.77,136.12,32.674,33.428,63.892,92.84,95.162,75.094,51.491,36.444,30.689,27.861,25.639,25.638,22.617,21.332,21.746,22.006,21.548,22.903,19.769,18.79,17.683,16.495,15.505,16.318,14.554,13.711,13.153,13.645,14.016,21.901,16.254,13.206,12.891,13.705,16.305
